filename,label,description
Downy Mildew_1.JPG,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size. The leaf exhibits a vibrant green color with a prominent venation pattern, and the surface appears smooth. There are several yellowish patches scattered across the leaf, particularly along the veins, covering approximately 20% of the leaf area. These patches have irregular shapes with diffuse borders. Some areas show signs of chlorosis, but no necrosis or perforations are visible. The background is plain and neutral, likely a lab surface, with no other plant parts or objects visible. The image is clear with no significant blur, shadows, or reflections affecting the visibility of the leaf details."
Downy Mildew_10.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a predominantly green color with prominent yellow patches. The venation pattern is clearly visible, with veins radiating from the central stem. The leaf surface appears smooth with a slight gloss. Yellow patches are irregularly shaped and scattered across the leaf, affecting approximately 30% of the area. The borders of these patches are diffuse, blending into the green areas. There is noticeable chlorosis, particularly around the yellow patches, but no significant necrosis or deformation is observed. The background is a plain white surface, providing a clear contrast to the leaf. The image quality is good, with no significant blur or shadows, allowing for clear observation of the leaf's features."
Downy Mildew_100.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a mix of green and yellow tones. The venation pattern is prominent, with veins radiating from the central stem. The leaf surface appears smooth with a slight gloss. There are irregular patches of discoloration, primarily yellowing, covering approximately 40% of the leaf area, with some brown necrotic spots along the edges. The lesions are scattered and have indistinct borders. The leaf shows signs of chlorosis and minor curling at the edges. The background is a plain white surface, providing a clear contrast to the leaf. The image quality is good, with no significant blur or shadows affecting the visibility of details."
Downy Mildew_101.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a mix of green and brown tones. The leaf's venation is prominent, with a slightly wrinkled texture. There are large, irregular patches of brown discoloration covering approximately 40% of the leaf surface, with indistinct borders. These patches are scattered across the leaf, particularly along the veins. The leaf shows signs of necrosis, with some areas appearing dry and brittle. The background is a plain white surface, providing a clear contrast to the leaf. The image is well-focused, with no significant blurring or shadows affecting the visibility of the leaf's features."
Downy Mildew_102.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size. The leaf exhibits a mix of green and yellow tones, with a prominent venation pattern. The surface appears slightly wrinkled. There are irregular patches of yellow discoloration, particularly along the edges and near the veins, affecting approximately 30% of the leaf area. Some areas show signs of necrosis with brownish hues. The leaf edges are slightly curled, indicating possible physiological stress. The background is a plain white surface, providing clear contrast to the leaf. The image is well-focused with no significant blur or shadows."
Downy Mildew_103.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a vibrant green color with prominent venation. The surface appears slightly wrinkled with a matte texture. Yellowish patches are visible, primarily along the veins and edges, covering approximately 20% of the leaf area. These patches have irregular shapes with diffuse borders. There is noticeable chlorosis, particularly around the affected areas, but no significant necrosis or perforations are evident. The background is a plain white surface, providing a clear contrast to the leaf. The image is well-focused with no significant blur, shadows, or reflections affecting the visibility of the leaf's features."
Downy Mildew_104.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a vibrant green color with a prominent venation pattern. The surface appears smooth with a slight gloss. The leaf exhibits irregularly shaped lesions with a brownish hue, primarily along the edges and some scattered across the surface, affecting approximately 20% of the leaf area. There is noticeable necrosis at the lesion sites, with some curling at the edges. The background is a plain white surface, providing clear contrast to the leaf. The image is well-focused with no significant blurring or shadows, allowing for detailed observation of the leaf's condition."
Downy Mildew_105.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a vibrant green color with some yellowish tones. The venation pattern is prominent, with veins radiating from the central stem. The leaf surface appears slightly wrinkled and matte. There are visible symptoms of chlorosis, particularly along the edges and near the veins, where the green color fades to yellow. The leaf shows some necrotic spots with brownish hues, primarily scattered along the margins and covering approximately 10-15% of the leaf area. The background is a plain white surface, providing a clear contrast to the leaf, with no other plant parts or objects visible. The image quality is sharp, with good lighting and no noticeable shadows or reflections."
Downy Mildew_106.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a mix of green and yellow tones. The venation pattern is prominent, with veins radiating from the center. The surface appears slightly wrinkled and leathery. The leaf exhibits symptoms of chlorosis, with yellow patches scattered across approximately 30% of the surface, particularly along the edges and near the veins. There are no distinct lesions or necrotic spots visible. The background is a plain white surface, providing a clear contrast to the leaf. The image is well-lit with no significant shadows or reflections, allowing for clear observation of the leaf's features."
Downy Mildew_107.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a mix of light and dark green tones. The venation pattern is prominent, with veins radiating from the central stem. The leaf surface appears smooth with a slight gloss. There are small, dark brown spots scattered across the leaf, particularly along the veins, affecting approximately 10-15% of the leaf area. Some areas show mild chlorosis, with a yellowish tint near the edges. The background is a plain white surface, providing a clear contrast to the leaf. The image is well-focused with no significant blur or shadows, allowing for detailed observation of the leaf's features."
